"Group","Adjusted.16S.Original","CFU","log10_CFU","log10_16S","Measurement","Value","Rank"
"BDQ25",63251250,1046.2499999125,3.019635470965,7.80106911265794,"Change_log10_CFU",3.83542916433788,1
"BDQ25",63251250,1046.2499999125,3.019635470965,7.80106911265794,"Change_log10_16S",1.93985621579651,1
"BDQ5",131635714.285714,16521.4285652857,4.21804759693091,8.11937373436099,"Change_log10_CFU",2.63701703837197,3
"BDQ5",131635714.285714,16521.4285652857,4.21804759693091,8.11937373436099,"Change_log10_16S",1.62155159409347,3
"EMB",623870156.25,4851562.498875,6.68588163042801,8.79509421100952,"Change_log10_CFU",0.169183004874867,7
"EMB",623870156.25,4851562.498875,6.68588163042801,8.79509421100952,"Change_log10_16S",0.945831117444936,5
"INH",73044642.8571429,394821.428614286,5.59640071561966,7.86358836999111,"Change_log10_CFU",1.25866391968322,4
"INH",73044642.8571429,394821.428614286,5.59640071561966,7.86358836999111,"Change_log10_16S",1.87733695846335,2
"PZA",1127529843.75,5624999.998375,6.75012252665794,9.05212804572021,"Change_log10_CFU",0.104942108644936,8
"PZA",1127529843.75,5624999.998375,6.75012252665794,9.05212804572021,"Change_log10_16S",0.688797282734246,6
"RIF10",1580432812.5,832031.249875,5.92013963806164,9.19877603780247,"Change_log10_CFU",0.934924997241231,5
"RIF10",1580432812.5,832031.249875,5.92013963806164,9.19877603780247,"Change_log10_16S",0.542149290651986,7
"RIF30",390852187.5,7462.500001875,3.87288434424654,8.59201254693538,"Change_log10_CFU",2.98218029105633,2
"RIF30",390852187.5,7462.500001875,3.87288434424654,8.59201254693538,"Change_log10_16S",1.14891278151908,4
"STR",5037409687.5,1957031.24975,6.29159776049992,9.70220727303066,"Change_log10_CFU",0.563466874802955,6
"STR",5037409687.5,1957031.24975,6.29159776049992,9.70220727303066,"Change_log10_16S",0.0387180554238,8
