"Treatment.days","n","Corr","CI_L","CI_U","p","Slope","Slope_L","Slope_U","R2"
7,12,-0.66,-0.9,-0.14,"0.02",-0.35,-0.62,-0.07,0.44
14,64,0.53,0.33,0.69,"0.000006",0.24,0.14,0.34,0.28
21,24,-0.47,-0.73,-0.08,"0.02",-0.08,-0.15,-0.01,0.22
28,62,0.31,0.07,0.52,"0.01",0.09,0.02,0.17,0.1
42,26,0.6,0.28,0.8,"0.001",0.2,0.09,0.31,0.37
56,32,0.34,-0.01,0.61,"0.06",0.19,-0.01,0.38,0.11
70,15,0.73,0.34,0.9,"0.002",0.31,0.13,0.49,0.53
84,12,NA,NA,NA,NA,NA,NA,NA,NA
98,6,0.57,-0.45,0.94,"0.2",0.41,-0.41,1.22,0.33
112,12,0.3,-0.33,0.75,"0.3",0.41,-0.51,1.33,0.09
140,12,NA,NA,NA,NA,NA,NA,NA,NA
