"","Group","PD","Reducion"
"1","HRZE","CFU",-2.48284893140129
"2","HRZE","a16S",-0.895444289976784
"3","PaMZ","CFU",-5.11339463301097
"4","PaMZ","a16S",-0.655874158391584
"5","BPaL","CFU",-5.44703232430071
"6","BPaL","a16S",-0.58274777144902
"7","BPaMZ","CFU",-7.01310859464588
"8","BPaMZ","a16S",-1.29141116176128
"9","PZM","CFU",-3.75353537741367
"10","PZM","a16S",-1.27487352676017
"11","BZM","CFU",-6.016480551913
"12","BZM","a16S",-1.53271389445115
"13","BZMRb","CFU",-6.00239546060649
"14","BZMRb","a16S",-1.45672658418584
"15","BDOS","CFU",-5.28662875406975
"16","BDOS","a16S",-1.19012736155101
"17","BPaOS","CFU",-5.62136219759574
"18","BPaOS","a16S",-1.95000780099676
