"","Group","CFU","Adjusted.16S.Original","logCFU","log16S","PreRxCFU","PreRx16S","log10CFUreduction","log1016Sreduction"
"1","HRZE",107000,273204311.37,5.02938377768521,8.43648754855791,7.39718536480725,9.1195740603265,-2.36780158712204,-0.683086511768591
"2","HRZE",103000,199020558.63,5.01283722470517,8.29889794092426,7.39718536480725,9.1195740603265,-2.38434814010208,-0.82067611940224
"3","HRZE",103000,56305384.59,5.01283722470517,7.75054992923684,7.39718536480725,9.1195740603265,-2.38434814010208,-1.36902413108966
"4","HRZE",253000,182743220.01,5.40312052117582,8.26184127308891,7.39718536480725,9.1195740603265,-1.99406484363143,-0.857732787237593
"5","HRZE",80600,276253004.07,4.90633504180509,8.44130700938613,7.39718536480725,9.1195740603265,-2.49085032300216,-0.67826705094037
"6","HRZE",116000,380039416.5,5.06445798922692,8.57982864261861,7.39718536480725,9.1195740603265,-2.33272737558033,-0.539745417707891
"7","HRZE",92001,138282699.63,4.9637925479121,8.14076784948599,7.39718536480725,9.1195740603265,-2.43339281689516,-0.978806210840512
"8","HRZE",37126,160759827.63,4.56967816033558,8.20617753186075,7.39718536480725,9.1195740603265,-2.82750720447167,-0.913396528465746
"9","HRZE",47626,186875908.38,4.67784410763218,8.27155331672382,7.39718536480725,9.1195740603265,-2.71934125717507,-0.848020743602676
"10","HRZE",143501,148066259.01,5.15685492750185,8.17045610379299,7.39718536480725,9.1195740603265,-2.2403304373054,-0.949117956533513
"11","HRZE",58126,254711486.37,4.76437043756676,8.40604853018006,7.39718536480725,9.1195740603265,-2.63281492724049,-0.713525530146443
"12","HRZE",73125,322799909.4,4.86406587909024,8.50893340415695,7.39718536480725,9.1195740603265,-2.53311948571702,-0.610640656169545
"13","HRZE",39375,99688679.01,4.59522056679766,7.99864584113361,7.39718536480725,9.1195740603265,-2.8019647980096,-1.12092821919289
"14","HRZE",65625,91765602.21,4.81706931641401,7.96267991900199,7.39718536480725,9.1195740603265,-2.58011604839324,-1.15689414132451
"15","HRZE",150000,108011888.82,5.17609125905568,8.03347156071615,7.39718536480725,9.1195740603265,-2.22109410575157,-1.08610249961035
"16","HRZE",41250,131349953.91,4.61542395288594,8.11842992473049,7.39718536480725,9.1195740603265,-2.78176141192131,-1.00114413559601
"17","PaMZ",203,411589713,2.30749603791321,8.61446451175812,7.39718536480725,9.1195740603265,-5.08968932689404,-0.505109548568381
"18","PaMZ",180,354555742.5,2.25527250510331,8.54968452374205,7.39718536480725,9.1195740603265,-5.14191285970395,-0.56988953658445
"19","PaMZ",2420,467052917.7,3.38381536598043,8.66936608948071,7.39718536480725,9.1195740603265,-4.01336999882682,-0.450207970845787
"20","PaMZ",97.5,245540829.3,1.98900461569854,8.39012371831376,7.39718536480725,9.1195740603265,-5.40818074910872,-0.729450342012738
"21","PaMZ",97.5,246399880.8,1.98900461569854,8.39164049339533,7.39718536480725,9.1195740603265,-5.40818074910872,-0.727933566931169
"22","PaMZ",60,146865596.97,1.77815125038364,8.16692007491952,7.39718536480725,9.1195740603265,-5.61903411442361,-0.952653985406979
"23","BPaL",55.4,389117318.1,1.74350976472843,8.59008055999391,7.39718536480725,9.1195740603265,-5.65367560007882,-0.529493500332585
"24","BPaL",137,441830667.3,2.13672056715641,8.64525585679783,7.39718536480725,9.1195740603265,-5.26046479765085,-0.474318203528671
"25","BPaL",45.7,332324919,1.65991620006985,8.52156290756953,7.39718536480725,9.1195740603265,-5.7372691647374,-0.598011152756968
"26","BPaL",218,294391526.22,2.3384564936046,8.46892530509189,7.39718536480725,9.1195740603265,-5.05872887120265,-0.650648755234608
"27","BPaL",81.5,273993501.36,1.91115760873998,8.43774026224753,7.39718536480725,9.1195740603265,-5.48602775606728,-0.681833798078966
"28","BPaL",81.5,360904952.4,1.91115760873998,8.55739284156418,7.39718536480725,9.1195740603265,-5.48602775606728,-0.562181218762323
"29","BPaMZ",6.52,202606102.62,0.81424759573192,8.30665252243727,7.39718536480725,9.1195740603265,-6.58293776907533,-0.812921537889228
"30","BPaMZ",9.78,196894293.87,0.990338854787601,8.29423313017224,7.39718536480725,9.1195740603265,-6.40684651001965,-0.825340930154256
"31","BPaMZ",1.630434783,146046716.76,0.212303431814357,8.16449179815283,7.39718536480725,9.1195740603265,-7.1848819329929,-0.955082262173674
"32","BPaMZ",3.26,144957590.43,0.513217600067939,8.1612409612954,7.39718536480725,9.1195740603265,-6.88396776473931,-0.958333099031098
"33","BPaMZ",1.630434783,114410181.66,0.212303431814357,8.05846467517373,7.39718536480725,9.1195740603265,-7.1848819329929,-1.06110938515277
"34","BPaMZ",1.630434783,173791582.95,0.212303431814357,8.24002873893147,7.39718536480725,9.1195740603265,-7.1848819329929,-0.879545321395026
"35","BPaMZ",3.125,23959149.441,0.494850021680094,7.37947139637016,7.39718536480725,9.1195740603265,-6.90233534312716,-1.74010266395634
"36","BPaMZ",1.5625,39359600.22,0.193820026016113,7.59505067860255,7.39718536480725,9.1195740603265,-7.20336533879114,-1.52452338172395
"37","BPaMZ",1.5625,17872023.771,0.193820026016113,7.25217373341294,7.39718536480725,9.1195740603265,-7.20336533879114,-1.86740032691356
"38","BPaMZ",1.5625,33902403.75,0.193820026016113,7.53023049166478,7.39718536480725,9.1195740603265,-7.20336533879114,-1.58934356866172
"39","BPaMZ",1.5625,13420038.384,0.193820026016113,7.12775375800403,7.39718536480725,9.1195740603265,-7.20336533879114,-1.99182030232247
"40","PZM",3301,27435021.723,3.51864552433031,7.43830530840581,7.39718536480725,9.1195740603265,-3.87853984047694,-1.68126875192069
"41","PZM",8776,106144370.82,3.94329661456665,8.0258969670688,7.39718536480725,9.1195740603265,-3.4538887502406,-1.0936770932577
"42","PZM",3526,59322872.55,3.5472823079633,7.7732221724037,7.39718536480725,9.1195740603265,-3.84990305684395,-1.3463518879228
"43","PZM",3676,138477012.78,3.56537550271407,8.14137768638702,7.39718536480725,9.1195740603265,-3.83180986209318,-0.978196373939484
"44","BZM",7,146083370.19,0.845098040014257,8.16460077961818,7.39718536480725,9.1195740603265,-6.552087324793,-0.954973280708316
"45","BZM",100,50029192.68,2,7.69922349473929,7.39718536480725,9.1195740603265,-5.39718536480725,-1.4203505655872
"46","BZM",22,10634158.173,1.34242268082221,7.02670311574402,7.39718536480725,9.1195740603265,-6.05476268398505,-2.09287094458247
"47","BZM",16,112675672.14,1.20411998265592,8.05183015743148,7.39718536480725,9.1195740603265,-6.19306538215133,-1.06774390289502
"48","BZM",32.5,9816197.367,1.51188336097887,6.99194328184377,7.39718536480725,9.1195740603265,-5.88530200382838,-2.12763077848273
