"Study.name","Group","CFU","logCFU","Adjusted.16S.Original","logAdjusted.16S.Original","PreRx_CFU","PreRx_logCFU","PreRx_16s","PreRx_log16s","CFU_Decline_from_PreRx","CFU_log10_Decline_from_PreRx","r16S_Decline_from_PreRx","r16S_log10_Decline_from_PreRx","CFU_fold_decline","r16S_fold_decline"
"Crush-TB-Substudy","PreRx",19350001,7.27528162888703,6022690255.2,9.76208858607021,19350001,7.27528162888703,6022690255.2,9.76208858607021,0,0,0,0,1,1
"Gates-BC-Rel-01","PreRx",17583333.3333333,7.23832487582122,1638100684.1,9.18494351383308,17583333.3333333,7.23832487582122,1638100684.1,9.18494351383308,0,0,0,0,1,1
"TBDA-BC-Rel-01","PreRx",41093750,7.57081665519807,600609847.14,8.71904191035339,41093750,7.57081665519807,600609847.14,8.71904191035339,0,0,0,0,1,1
"Crush-TB-Substudy","HRZE",75676,4.82650803618969,177739236.204,8.23900066640872,19350001,7.27528162888703,6022690255.2,9.76208858607021,19274325,2.45,5844951018.996,1.52,255.7,33.88
"Gates-BC-Rel-01","HRZE",127100,5.07149529655056,227927649.195,8.29481872396878,17583333.3333333,7.23832487582122,1638100684.1,9.18494351383308,17456233.3333333,2.17,1410173034.905,0.89,138.34,7.19
"TBDA-BC-Rel-01","HRZE",73875,4.81357419484871,150723206.67,8.12443212994784,41093750,7.57081665519807,600609847.14,8.71904191035339,41019875,2.76,449886640.47,0.59,556.26,3.98
"Gates-BC-Rel-01","PaMZ",509.666666666667,2.28379073179628,312000780.045,8.46369990193492,17583333.3333333,7.23832487582122,1638100684.1,9.18494351383308,17582823.6666667,4.95,1326099904.055,0.72,34499.67,5.25
"Gates-BC-Rel-01","BPaL",103.183333333333,1.95015304050654,348760480.73,8.53682628887748,17583333.3333333,7.23832487582122,1638100684.1,9.18494351383308,17583230.15,5.29,1289340203.37,0.65,170408.66,4.7
"Gates-BC-Rel-01","BPaMZ",4.0752173915,0.492452391005088,163117744.715,8.20418530436049,17583333.3333333,7.23832487582122,1638100684.1,9.18494351383308,17583329.2581159,6.75,1474982939.385,0.98,4314698.25,10.04
"TBDA-BC-Rel-01","BPaMZ",1.875,0.254026025148909,25702643.1132,7.37693601161089,41093750,7.57081665519807,600609847.14,8.71904191035339,41093748.125,7.32,574907204.0268,1.34,21916666.67,23.37
"Crush-TB-Substudy","PZM",4819.75,3.64364998739359,82844819.46825,7.84470053356633,19350001,7.27528162888703,6022690255.2,9.76208858607021,19345181.25,3.63,5939845435.73175,1.92,4014.73,72.7
"Crush-TB-Substudy","BZM",35.5,1.38070481289425,65847718.11,7.58686016587535,19350001,7.27528162888703,6022690255.2,9.76208858607021,19349965.5,5.89,5956842537.09,2.18,545070.45,91.46
"Crush-TB-Substudy","BZMRb",33.4,1.39478990420076,61067459.0574,7.66284747614066,19350001,7.27528162888703,6022690255.2,9.76208858607021,19349967.6,5.88,5961622796.1426,2.1,579341.35,98.62
"TBDA-BC-Rel-01","BDOS",285.002,2.1105566107375,133929807.8022,7.92944669877549,41093750,7.57081665519807,600609847.14,8.71904191035339,41093464.998,5.46,466680039.3378,0.79,144187.58,4.48
"TBDA-BC-Rel-01","BPaOS",149.2225,1.77582316721151,25081828.872225,7.16956625932974,41093750,7.57081665519807,600609847.14,8.71904191035339,41093600.7775,5.79,575528018.267775,1.55,275385.75,23.95
