"Study.name","Group","Treatment.days","CFU","logCFU","Adjusted.16S.Original","logAdjusted.16S.Original","PreRx_CFU","PreRx_logCFU","PreRx_16s","PreRx_log16s","CFU_Decline_from_PreRx","CFU_log10_Decline_from_PreRx","r16S_Decline_from_PreRx","r16S_log10_Decline_from_PreRx","CFU_fold_decline","r16S_fold_decline"
"Crush-TB-Substudy","PreRx",0,19350001,7.27528162888703,6022690255.2,9.76208858607021,19350001,7.27528162888703,6022690255.2,9.76208858607021,0,0,0,0,1,1
"Gates-BC-Rel-01","PreRx",0,17583333.3333333,7.23832487582122,1638100684.1,9.18494351383308,17583333.3333333,7.23832487582122,1638100684.1,9.18494351383308,0,0,0,0,1,1
"TBDA-BC-Rel-01","PreRx",0,41093750,7.57081665519807,600609847.14,8.71904191035339,41093750,7.57081665519807,600609847.14,8.71904191035339,0,0,0,0,1,1
"Crush-TB-Substudy","HRZE",14,3033751,6.42004252876114,2183821523.88,9.31130986000615,19350001,7.27528162888703,6022690255.2,9.76208858607021,16316250,0.86,3838868731.32,0.45,6.38,2.76
"Crush-TB-Substudy","HRZE",28,75676,4.82650803618969,177739236.204,8.23900066640872,19350001,7.27528162888703,6022690255.2,9.76208858607021,19274325,2.45,5844951018.996,1.52,255.7,33.88
"Gates-BC-Rel-01","HRZE",112,2.6086956525,0.322763070410581,2234153.75165,6.28878053940736,17583333.3333333,7.23832487582122,1638100684.1,9.18494351383308,17583330.7246377,6.92,1635866530.34835,2.9,6740277.78,733.21
"Gates-BC-Rel-01","HRZE",14,2313333.33333333,6.34672284083186,858567233.75,8.92654538623633,17583333.3333333,7.23832487582122,1638100684.1,9.18494351383308,15270000,0.89,779533450.35,0.26,7.6,1.91
"Gates-BC-Rel-01","HRZE",140,1.630434783,0.212303431814357,9070009.56845,6.90001021076012,17583333.3333333,7.23832487582122,1638100684.1,9.18494351383308,17583331.7028986,7.03,1629030674.53155,2.28,10784444.44,180.61
"Gates-BC-Rel-01","HRZE",21,744816.666666667,5.64484564540725,192582389.82,8.245915275541,17583333.3333333,7.23832487582122,1638100684.1,9.18494351383308,16838516.6666667,1.59,1445518294.28,0.94,23.61,8.51
"Gates-BC-Rel-01","HRZE",28,127100,5.07149529655056,227927649.195,8.29481872396878,17583333.3333333,7.23832487582122,1638100684.1,9.18494351383308,17456233.3333333,2.17,1410173034.905,0.89,138.34,7.19
