"Group","Adjusted.16S.Original","CFU","log10_CFU","log10_16S","Change_log10_CFU","Change_log10_16S"
"BDOS",133929807.8022,285.002,2.45484790767839,8.12687724559549,5.00158930367195,1.22864652965109
"BPaL",348760480.73,103.183333333333,2.01360955362926,8.54252726762162,5.44282765772108,0.812996507624954
"BPaMZ",100656334.896,3.07511857718182,0.487861866915616,8.00284111279446,6.96857534443473,1.35268266245211
"BPaOS",25081828.872225,149.2225,2.17383431166959,7.39935920042651,5.28260289968075,1.95616457482006
"BZM",65847718.11,35.5,1.55022835305509,7.81854072949664,5.90620885829525,1.53698304574993
"BZMRb",61067459.0574,33.4,1.52374646681156,7.78580984990732,5.93269074453878,1.56971392533925
"HRZE",188117381.84625,94397.1875,4.97495905498211,8.27442892575319,2.48147815636823,1.08109484949338
"PaMZ",312000780.045,509.666666666667,2.70728623069266,8.49415567981593,4.74915098065769,0.861368095430642
"PreRx",2267377200.243,28604687.75,7.45643721135035,9.35552377524657,0,0
"PZM",82844819.46825,4819.75,3.68302451200726,7.91826535588515,3.77341269934309,1.43725841936142
