"group2","HRZE 2 WK DOSE_1","HRZE 2 WK DOSE_5","HRZE 2 WK DOSE_7","HRZE 2 WK DOSE_11","HRZE 2 WK DOSE_14","HRZE 2 WK DOSE_21","HRZE 2 WK DOSE_28","HRZE 4 WK DOSE_1","HRZE 4 WK DOSE_4","HRZE 4 WK DOSE_7","HRZE 4 WK DOSE_11","HRZE 4 WK DOSE_14","HRZE 4 WK DOSE_21","HRZE 4 WK DOSE_28","HRZE 8 WK DOSE_1","HRZE 8 WK DOSE_4","HRZE 8 WK DOSE_7","HRZE 8 WK DOSE_11","HRZE 8 WK DOSE_14","HRZE 8 WK DOSE_21","HRZE 8 WK DOSE_28","HRZE.HR 12 WK DOSE_1","HRZE.HR 12 WK DOSE_4","HRZE.HR 12 WK DOSE_7","HRZE.HR 12 WK DOSE_11","HRZE.HR 12 WK DOSE_13","HRZE.HR 12 WK DOSE_21","HRZE.HR 12 WK DOSE_28","variable","test_type"
"UNTX_0",0.000840336134453782,0.000840336134453782,0.000840336134453782,0.000840336134453782,0.000840336134453782,0.000840336134453782,0.000840336134453782,0.000840336134453782,0.000840336134453782,0.000840336134453782,0.000840336134453782,0.000840336134453782,0.000840336134453782,0.000840336134453782,0.000840336134453782,0.000840336134453782,0.000840336134453782,0.000840336134453782,0.000840336134453782,0.000840336134453782,0.000840336134453782,0.000840336134453782,0.000840336134453782,0.000840336134453782,0.000840336134453782,0.000840336134453782,0.000840336134453782,0.000840336134453782,"Adjusted.16S.Original","wilcoxon signed rank test"
"HRZE 2 WK DOSE_1",NA,0.0285714285714286,0.2,0.114285714285714,0.2,0.0285714285714286,0.0285714285714286,0.342857142857143,0.885714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,"Adjusted.16S.Original","wilcoxon signed rank test"
"HRZE 2 WK DOSE_5",NA,NA,0.885714285714286,0.0571428571428571,0.685714285714286,0.0571428571428571,0.342857142857143,0.342857142857143,0.342857142857143,0.342857142857143,0.485714285714286,0.2,0.0571428571428571,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,"Adjusted.16S.Original","wilcoxon signed rank test"
"HRZE 2 WK DOSE_7",NA,NA,NA,0.342857142857143,0.685714285714286,0.0571428571428571,0.342857142857143,0.342857142857143,0.485714285714286,0.342857142857143,0.485714285714286,0.114285714285714,0.0571428571428571,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,"Adjusted.16S.Original","wilcoxon signed rank test"
"HRZE 2 WK DOSE_11",NA,NA,NA,NA,0.342857142857143,0.0285714285714286,0.0571428571428571,0.885714285714286,0.885714285714286,0.2,0.0571428571428571,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,"Adjusted.16S.Original","wilcoxon signed rank test"
"HRZE 2 WK DOSE_14",NA,NA,NA,NA,NA,0.114285714285714,0.485714285714286,0.485714285714286,0.485714285714286,0.885714285714286,0.485714285714286,0.2,0.0571428571428571,0.0285714285714286,0.114285714285714,0.0285714285714286,0.0571428571428571,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,"Adjusted.16S.Original","wilcoxon signed rank test"
"HRZE 2 WK DOSE_21",NA,NA,NA,NA,NA,NA,0.2,0.0285714285714286,0.0571428571428571,0.0285714285714286,0.2,0.2,0.885714285714286,0.342857142857143,0.685714285714286,0.0285714285714286,0.2,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,"Adjusted.16S.Original","wilcoxon signed rank test"
"HRZE 2 WK DOSE_28",NA,NA,NA,NA,NA,NA,NA,0.114285714285714,0.2,0.2,1,0.685714285714286,0.114285714285714,0.0285714285714286,0.342857142857143,0.0285714285714286,0.0571428571428571,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,"Adjusted.16S.Original","wilcoxon signed rank test"
"HRZE 4 WK DOSE_1",NA,NA,NA,NA,NA,NA,NA,NA,0.885714285714286,0.485714285714286,0.0571428571428571,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,"Adjusted.16S.Original","wilcoxon signed rank test"
"HRZE 4 WK DOSE_4",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.485714285714286,0.114285714285714,0.114285714285714,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,"Adjusted.16S.Original","wilcoxon signed rank test"
