"Group","Measure","Estimate","StdError","tValue","pValue","R_squared","Significance","Direction"
"HRZE 2 WK DOSE","CFU",-2573.12499999999,9534.87207422075,-0.269864658903699,0.789394785071192,0.00279321204061273,"Not Significant","Decreasing"
"HRZE 4 WK DOSE","CFU",2049.84617875648,3005.48037400941,0.682036121906833,0.501247406402031,0.0175768080870698,"Not Significant","Increasing"
"HRZE 8 WK DOSE","CFU",894.220531088082,190.713134728511,4.68882508989768,7.642226154372e-05,0.458164921098415,"Significant","Increasing"
"HRZE.HR 12 WK DOSE","CFU",213.788920158772,40.8219840568949,5.23710263226813,1.79932370286324e-05,0.513356893174386,"Significant","Increasing"
"UNTX","CFU",NA,NA,NA,NA,NA,NA,NA
"HRZE 2 WK DOSE","Adjusted.16S.Original",-5211443.771756,1675715.13341483,-3.1099819222471,0.00449899219862929,0.27113677199313,"Significant","Decreasing"
"HRZE 4 WK DOSE","Adjusted.16S.Original",-8186752.68320596,1581022.41328324,-5.17813828217961,2.10133866488806e-05,0.507698050502322,"Significant","Decreasing"
"HRZE 8 WK DOSE","Adjusted.16S.Original",-2000110.85292785,437343.489311459,-4.57331800246248,0.000103673091664032,0.445809051454179,"Significant","Decreasing"
"HRZE.HR 12 WK DOSE","Adjusted.16S.Original",-260889.988524011,201100.470689247,-1.29731167525289,0.205917755333573,0.0607960305525488,"Not Significant","Decreasing"
"UNTX","Adjusted.16S.Original",NA,NA,NA,NA,NA,NA,NA
