"Group","Study.name","Treatment.days","mean_CFU","mean_16S_rRNA","T50","T50_ci_low","T50_ci_up","T95","T95_ci_low","T95_ci_up","T95_SE"
"BDOS","TBDA-BC-Rel-01",14,4.34464536668547,8.28320412178769,10.1490421954899,9.91965755530417,10.3784268356757,12.1446996958497,11.9153150556639,12.3740843360355,0.117032979686617
"BDOS","TBDA-BC-Rel-01",70,0.193820026016113,6.81074329721193,10.1490421954899,9.91965755530417,10.3784268356757,12.1446996958497,11.9153150556639,12.3740843360355,0.117032979686617
"BDOS","TBDA-BC-Rel-01",28,2.1105566107375,7.92944670018527,10.1490421954899,9.91965755530417,10.3784268356757,12.1446996958497,11.9153150556639,12.3740843360355,0.117032979686617
"BDOS","TBDA-BC-Rel-01",42,0.314232024281705,7.70674506114448,10.1490421954899,9.91965755530417,10.3784268356757,12.1446996958497,11.9153150556639,12.3740843360355,0.117032979686617
"BDOS","TBDA-BC-Rel-01",56,0.193820026016113,7.58393230116912,10.1490421954899,9.91965755530417,10.3784268356757,12.1446996958497,11.9153150556639,12.3740843360355,0.117032979686617
"BPaL","Gates-BC-Rel-01",28,1.95015304050654,8.53682628878087,8.20518798139798,7.99500868394324,8.41536727885271,9.81861559570184,9.6084362982471,10.0287948931566,0.107234335436091
"BPaL","Gates-BC-Rel-01",7,6.51258017910486,9.19129017694564,8.20518798139798,7.99500868394324,8.41536727885271,9.81861559570184,9.6084362982471,10.0287948931566,0.107234335436091
"BPaL","Gates-BC-Rel-01",14,5.02522325030334,8.8994860296755,8.20518798139798,7.99500868394324,8.41536727885271,9.81861559570184,9.6084362982471,10.0287948931566,0.107234335436091
"BPaL","Gates-BC-Rel-01",21,3.24167424514464,8.7894145608797,8.20518798139798,7.99500868394324,8.41536727885271,9.81861559570184,9.6084362982471,10.0287948931566,0.107234335436091
"BPaL","Gates-BC-Rel-01",56,0.412874268179945,7.53934870626277,8.20518798139798,7.99500868394324,8.41536727885271,9.81861559570184,9.6084362982471,10.0287948931566,0.107234335436091
"BPaL","Gates-BC-Rel-01",84,0.212187604403958,7.13535023250299,8.20518798139798,7.99500868394324,8.41536727885271,9.81861559570184,9.6084362982471,10.0287948931566,0.107234335436091
"BPaMZ","Gates-BC-Rel-01",14,3.62016778459032,8.69842904840747,4.56815984867984,4.1101264659329,5.02619323142678,5.46642022530054,5.0083868425536,5.92445360804748,0.233690501401501
"BPaMZ","Gates-BC-Rel-01",42,0.212187604403958,7.56596481974087,4.56815984867984,4.1101264659329,5.02619323142678,5.46642022530054,5.0083868425536,5.92445360804748,0.233690501401501
