Study.name,Group,Full.name,WL.num,Sample.type,Study.stage,Days.since.Tx.start,Treatment.days,Washout.period,CFU,Adjusted.16S.Original,Culture.status,CFU_LOD,uL.template.RTP.16S.Original,cDNA.dilution.RTP.16S.Original,Median.Count.RTP.16S.Original,uL.RNA.into.RT.RTP.16S.Original,T50,T50_ci_low,T50_ci_up,T95,T95_ci_low,T95_ci_up
Gates-BC-Rel-01,PreRx,Gates-BC-Rel-01_Pre-Rx_LG A,5740,mouse,,0,0,0,20600000,919402142.4,NA,NA,2,10,245173.9047,2,NA,NA,NA,NA,NA,NA
Gates-BC-Rel-01,PreRx,Gates-BC-Rel-01_Pre-Rx_LG B,5741,mouse,,0,0,0,12700000,915402130.5,NA,NA,2,10,244107.2348,2,NA,NA,NA,NA,NA,NA
Gates-BC-Rel-01,PreRx,Gates-BC-Rel-01_Pre-Rx_LG C,5742,mouse,,0,0,0,20200000,2480907718,NA,NA,2,10,661575.3914,2,NA,NA,NA,NA,NA,NA
Gates-BC-Rel-01,PreRx,Gates-BC-Rel-01_Pre-Rx_LG D,5743,mouse,,0,0,0,20400000,1790441573,NA,NA,2,10,477451.086,2,NA,NA,NA,NA,NA,NA
Gates-BC-Rel-01,PreRx,Gates-BC-Rel-01_Pre-Rx_LG E,5744,mouse,,0,0,0,15900000,2005707634,NA,NA,2,10,534855.369,2,NA,NA,NA,NA,NA,NA
Gates-BC-Rel-01,PreRx,Gates-BC-Rel-01_Pre-Rx_LG F,5745,mouse,,0,0,0,15700000,1716742908,NA,NA,2,10,457798.1088,2,NA,NA,NA,NA,NA,NA
Gates-BC-Rel-01,HRZE,Gates-BC-Rel-01_1wk_Grp 2: 2HRZE/3HR_LG A,5746,mouse,On Treatment,7,7,0,6800000,1400482194,NA,NA,2,10,373461.9185,2,17.38476672,16.85147642,17.91805701,20.83078329,20.297493,21.36407358
Gates-BC-Rel-01,HRZE,Gates-BC-Rel-01_1wk_Grp 2: 2HRZE/3HR_LG B,5747,mouse,On Treatment,7,7,0,6090000,1582044948,NA,NA,2,10,421878.6528,2,17.38476672,16.85147642,17.91805701,20.83078329,20.297493,21.36407358
Gates-BC-Rel-01,HRZE,Gates-BC-Rel-01_1wk_Grp 2: 2HRZE/3HR_LG C,5748,mouse,On Treatment,7,7,0,10800000,796696625.4,NA,NA,2,10,212452.4334,2,17.38476672,16.85147642,17.91805701,20.83078329,20.297493,21.36407358
Gates-BC-Rel-01,PaMZ,Gates-BC-Rel-01_1wk_Grp 3: PaMZ_LG A,5749,mouse,On Treatment,7,7,0,3750000,1322687146,NA,NA,2,10,352716.5722,2,10.98338088,8.982932151,12.98382961,13.16051177,11.16006304,15.1609605
Gates-BC-Rel-01,PaMZ,Gates-BC-Rel-01_1wk_Grp 3: PaMZ_LG B,5750,mouse,On Treatment,7,7,0,2480000,1455073769,NA,NA,2,10,388019.6717,2,10.98338088,8.982932151,12.98382961,13.16051177,11.16006304,15.1609605
Gates-BC-Rel-01,PaMZ,Gates-BC-Rel-01_1wk_Grp 3: PaMZ_LG C,5751,mouse,On Treatment,7,7,0,7270000,1277614932,NA,NA,2,10,340697.3152,2,10.98338088,8.982932151,12.98382961,13.16051177,11.16006304,15.1609605
Gates-BC-Rel-01,BPaL,Gates-BC-Rel-01_1wk_Grp 4: BPaL_LG A,5752,mouse,On Treatment,7,7,0,1920000,1474084074,NA,NA,2,10,393089.0864,2,8.204487147,7.991936648,8.417037646,9.83078442,9.618233921,10.04333492
Gates-BC-Rel-01,BPaL,Gates-BC-Rel-01_1wk_Grp 4: BPaL_LG B,5753,mouse,On Treatment,7,7,0,2950000,1375114924,NA,NA,2,10,366697.3129,2,8.204487147,7.991936648,8.417037646,9.83078442,9.618233921,10.04333492
